Date,Ranking PBI,country,GDP en Mill,Interes Rate,Inflation Rate,Debt/GDP,Population,GDP Pc
2022-02-02,1,United States,20937,0.25,7.00,128.10,329480000,63545.59
2022-02-02,2,China,14723,3.70,1.50,66.80,1412600000,10422.62
2022-02-02,3,Euro Area,13011,0.00,5.00,98.00,342410000,37998.31
2022-02-02,4,Japan,4975,-0.10,0.80,266.20,125670000,39587.81
2022-02-02,5,Germany,3846,0.00,4.90,69.80,83170000,46242.64
2022-02-02,6,United Kingdom,2708,0.25,5.40,94.90,67080000,40369.71
2022-02-02,7,France,2630,0.00,2.90,115.70,67290000,39084.56
2022-02-02,8,India,2623,4.00,5.59,73.95,1347120000,1947.12
2022-02-02,9,Italy,1886,0.00,3.90,155.80,59640000,31623.07
2022-02-02,10,Canada,1644,0.25,4.80,117.80,38010000,43251.78
2022-02-02,11,South Korea,1631,1.25,3.70,42.60,51780000,31498.65
2022-02-02,12,Russia,1484,8.50,8.40,17.80,146200000,10150.48
2022-02-02,13,Brazil,1445,9.25,10.06,88.83,211820000,6821.83
2022-02-02,14,Australia,1331,0.10,3.50,24.80,25680000,51830.22
2022-02-02,15,Spain,1281,0.00,6.00,120.00,47330000,27065.29
2022-02-02,16,Mexico,1076,5.50,7.36,52.10,126010000,8539.0
2022-02-02,17,Indonesia,1058,3.50,1.87,38.50,270200000,3915.62
2022-02-02,18,Netherlands,914,0.00,5.70,54.50,17410000,52498.56
2022-02-02,19,Switzerland,752,-0.75,1.50,42.90,8610000,87340.3
2022-02-02,20,Turkey,720,14.00,36.08,39.50,83610000,8611.41
2022-02-02,21,Saudi Arabia,700,1.00,1.20,32.50,35000000,20000.0
2022-02-02,22,Taiwan,669,1.13,2.62,28.20,23550000,28407.64
2022-02-02,23,Poland,594,2.25,8.60,57.50,37960000,15648.05
2022-02-02,24,Sweden,541,0.00,3.90,39.90,10330000,52371.73
2022-02-02,25,Belgium,515,0.00,7.59,114.10,11520000,44704.86
2022-02-02,26,Thailand,502,0.50,2.17,50.50,66650000,7531.88
2022-02-02,27,Venezuela,482,52.70,686.40,350.00,32600000,14785.28
2022-02-02,28,Nigeria,432,11.50,15.63,34.98,206140000,2095.66
2022-02-02,29,Austria,431,0.00,4.30,83.90,8900000,48426.97
2022-02-02,30,Ireland,426,0.00,5.50,59.50,4960000,85887.1
2022-02-02,31,United Arab Emirates,421,1.50,2.60,36.90,9900000,42525.25
2022-02-02,32,Israel,402,0.10,2.80,71.10,9290000,43272.34
2022-02-02,33,Argentina,383,40.00,50.90,102.00,45380000,8439.84
2022-02-02,34,Egypt,363,8.25,5.90,88.00,100500000,3611.94
2022-02-02,35,Norway,363,0.50,5.30,46.00,5370000,67597.77
2022-02-02,36,Philippines,361,2.00,3.60,53.50,109600000,3293.8
2022-02-02,37,Denmark,356,-0.60,3.10,42.20,5820000,61168.38
2022-02-02,38,Hong Kong,347,0.86,2.40,38.40,7470000,46452.48
